economy,year,fdi_inflows,rd_spending,patent_apps,internet_users,gdp_growth,gdp_per_capita,tertiary_enrollment,gini,services_emp,unemployment,high_tech_exp,arm_trapped,income_level,ai_readiness
DOM,2025,3.6013993607877,,7.0,91.0022446,4.95352204492849,9168.45418897141,57.6509476207267,39.0,74.0204119000483,5.092,7.68868351413961,0.0,middle,0.0
DZA,2025,0.455370730483787,0.44395,268.0,77.4178009,3.69999999907979,4765.72900168387,54.4283410150344,27.6,58.2543408872525,11.633,0.960396672710236,0.0,middle,0.0
EAP,2025,0.503217325098738,2.47590303547195,,88.1,4.96144388249688,10128.2890911466,61.7415199279785,,47.0076786256634,3.9178376117136,28.0181564947106,0.0,middle,88.1
EAR,2025,1.73260756149677,0.800602425905232,,,3.66894359356229,3887.67750781635,36.2870903015137,,43.3570543531077,5.15274599833717,14.1769493280284,0.0,middle,0.0
EAS,2025,1.47109621535185,2.77406822897594,1769228.0,88.4,3.79010550023051,13252.7558734185,63.3318481445312,,49.8804456191501,3.80585541446833,34.6805931487323,0.0,middle,88.4
ECA,2025,1.56254971259269,0.90394553471454,,87.5,3.9823947129598,8634.68709000162,85.1110763549805,,56.1394001603636,6.83346297049418,10.6779888123484,0.0,middle,87.5
ECS,2025,0.610318280608877,2.13845186931503,215964.0,92.4,1.56624845618092,25973.9053281236,84.8905563354492,,69.6755164422269,5.35763709810189,21.4261686082944,,high,92.4
ECU,2025,0.355365031150455,0.43839,35.0,77.17273115,-2.00125476341026,5999.39391066593,67.8851161961618,45.9,50.9282964613367,3.308,9.99836390672699,0.0,middle,0.0
EGY,2025,11.9719350883142,1.01757,881.0,74.64839935,2.3991692678251,4137.60929232898,38.0398346509947,28.5,53.1180498028743,6.781,3.81290087814207,0.0,middle,19.01991732549735
EMU,2025,1.64242940360832,2.29924641772542,,,0.911910157337687,38254.4232216366,81.8938369750977,,74.8970738085859,6.33138964349225,21.3516584494964,,high,0.0
ERI,2025,1.8886183675912,,,14.34939957,8.67980010138049,751.374899794668,3.20262002944946,,31.7822898701048,5.978,,,low,0.0
ESP,2025,2.47896679493344,1.49362,1308.0,95.7574516,3.45525405630191,29245.2192451729,93.7689666748047,33.4,76.774166700687,10.376,9.28447661569937,,high,0.0
EST,2025,-7.97097840452121,1.83878,25.0,92.23796204,-0.0900428648493801,20078.1397620993,65.6692276000977,30.7,71.0457726757545,8.313,18.382980141257,0.0,high,0.0
ETH,2025,2.68582028016447,0.27437,6.0,21.94129944,7.61277447511073,883.458588619291,5.9192507771213,31.1,33.4085850993779,3.323,3.75062055802087,,low,0.0
EUU,2025,1.52951615929442,2.26283132761121,,,1.06455789818651,34896.3710345936,79.4997329711914,,72.8592888602171,5.92651809121259,20.6166459855189,,high,0.0
FCS,2025,1.1037887604999,0.270348755447398,,38.5,2.00694502217958,1419.27637949231,14.5780601501465,,40.7021976233898,5.12087353705196,,0.0,middle,38.5
FIN,2025,2.92666706920425,3.0938,1557.0,93.72405196,0.416171964862073,45254.0358658917,110.304496765137,27.4,75.6665546218487,9.461,9.28522659633957,,high,0.0
FJI,2025,3.41161017865705,,,74.7052002,3.53085896076352,5935.20896505673,75.0089752283697,30.7,51.7107898868497,5.347,2.99874841417736,0.0,middle,0.0
FRA,2025,1.64700185498585,2.17832,13386.0,88.65381638,1.19046798275883,39683.3953489029,71.5346908569336,31.8,78.3266612562329,7.542,23.1371073769038,,high,0.0
FRO,2024,,0.85253,,97.5819589384468,0.843716851362103,59257.6449307094,,,,,0.637987563649529,,high,0.0
FSM,2024,6.43620509110735,,,39.52360153,0.718990177344025,2930.27926555574,13.3582201004028,40.1,,,,0.0,middle,39.52360153
GAB,2025,5.47750591310442,0.57924,,68.72090149,3.39403899592401,6618.98685865885,7.65526008605957,38.0,52.2824316264551,20.154,1.77313570365975,0.0,middle,0.0
GBR,2025,-0.351465690300773,2.67614,11592.0,95.4720993,1.1264226705118,47960.9105761942,80.4146499633789,32.4,83.2346343545551,4.746,29.233260009076,,high,0.0
GEO,2025,4.68837813919395,0.26435,90.0,83.79855689,9.67979387500691,6808.07398025981,89.4861221313477,33.9,49.4768253255816,12.097,3.78381539474497,0.0,middle,44.74306106567385
GHA,2025,2.14505298599888,0.37655,12.0,72.17569733,5.59045469593266,2167.72691406678,21.330810546875,43.5,47.1708185731584,2.979,2.11003762211445,0.0,middle,0.0
GIB,2016,,,,94.4444715818151,,,,,,,,,,94.4444715818151
GIN,2025,5.60537419672227,,,33.30469894,5.35004659051708,1045.92207475817,10.8547201156616,29.6,38.4901231323681,5.163,0.899971742078623,,low,0.0
GMB,2025,9.66186331873299,0.06933,,49.49430084,5.55126069510321,758.96588872906,13.4765901565552,38.8,53.6436689000085,6.521,3.34757896376015,,low,0.0
GNB,2025,1.20132689112583,,,29.77739906,4.14631137217332,793.692157673779,2.62031006813049,33.4,29.2144614326375,2.673,5.80645161290323,,low,0.0
GNQ,2025,1.47277889961866,,,63.29930115,0.907248245986736,5041.94038551173,1.84452998638153,38.5,34.7479074828001,8.337,,0.0,middle,0.0
GRC,2025,2.6312519942121,1.4943,394.0,86.26968886,2.0865743380603,21494.6856060599,165.113418579102,33.4,73.0070237583302,8.54,15.011494857431,,high,0.0
GRD,2024,11.9486288193338,,,70.16159821,3.96332516398188,10196.0049872434,99.9891967773438,43.8,,,6.4434446202485,0.0,middle,36.047315798037275
GRL,2023,,0.64608,,69.4824617821988,0.865961986998158,49929.7755428605,,,,,1.70924920520931,,high,0.0
GTM,2025,1.63251851384265,0.00609,9.0,60.22140121,3.65186382894819,4563.09590652717,27.2948879201171,45.2,48.2345251648488,2.604,5.39604303984542,0.0,middle,0.0
GUM,2025,,0.2561,,80.5054655600831,5.09986426216793,34627.9862781837,,,79.1832966794277,5.569,,,high,0.0
GUY,2025,34.9900722943113,,40.0,83.00080109,43.8193108024355,33034.9576389333,26.4315792489043,,56.6920372875109,11.962,13.3341087055182,0.0,high,0.0
HIC,2025,1.44305832724786,2.8690798480384,870300.0,94.2,1.95000793704469,41776.3359445333,82.0356521606445,,74.9146961480993,4.40732868510062,25.8938294370333,,high,94.2
HKG,2025,30.924624334882,1.12597,401.0,95.75536971,2.50498758466826,44712.7654725532,120.08978583196,,85.8032590723654,2.799,75.5706908349979,,high,0.0
HND,2025,3.52903749551745,0.05997,8.0,58.62269974,3.55397003296669,2573.37159995648,23.3177890777588,45.7,55.9398845656115,4.92,3.87334759570957,0.0,middle,0.0
HPC,2025,4.37053598866678,,,,5.14470675657978,1015.32013675499,9.09300994873047,,33.1237793692356,4.14029129900976,2.96092659452304,,low,0.0
HRV,2025,4.87780112464328,1.38621,77.0,83.63240029,3.82688702890739,17854.2091012685,81.1775207519531,30.1,69.3106058073125,5.002,11.6739199311189,0.0,high,0.0
HTI,2025,0.0792936453462934,,2.0,47.8614006,-4.16963395808132,1154.87300909888,,41.1,44.5850424241342,14.944,,0.0,middle,0.0
HUN,2025,-27.9229280333136,1.37748,433.0,93.77898628,0.560117843140432,16518.6369936397,60.5168685913086,30.6,65.3516602373567,4.521,22.5745118826045,0.0,high,0.0
IBD,2025,1.03708691596117,1.87406846206261,,82.7,4.3517642428957,7523.39788740048,52.829891204834,,47.9626203296662,4.97734579110731,21.5228756768256,0.0,middle,82.7
IBT,2025,1.1238529627833,1.83590612524276,,70.3,4.34846625464438,5826.39109857059,39.3488082885742,,45.6002933821045,4.84304079329494,20.9847568284108,0.0,middle,70.3
IDA,2025,2.40485904811302,,,38.9,4.30577432199132,1485.87854475786,12.7190599441528,,38.3397460309029,4.42787371896187,3.59334581990031,0.0,middle,38.9
IDB,2025,1.19277507152089,0.239452283528228,,44.2,4.05581991807422,2076.03245502265,12.5017795562744,,44.6159653186572,4.42715825954522,2.93703773248515,0.0,middle,44.2
IDN,2025,1.73855500774354,0.28068,1397.0,72.78075544,5.03034469419038,4367.86266621191,44.8813034886441,34.4,50.1698745725842,3.237,8.7110437578916,0.0,middle,0.0
IDX,2025,3.22577977228334,,,36.1,4.54306460750766,1171.26544835908,12.8071804046631,,34.6404426931985,4.42829541893749,4.10574492634911,,middle,36.1
IMN,2022,,,,,-4.16539345213232,86103.3379308107,,,,,,,high,0.0
IND,2025,0.694133152879562,0.64558,26267.0,70.0,6.49476552383821,2396.94999213544,34.4465039692543,25.5,32.5575625031109,4.219,18.5723946411049,0.0,middle,43.61162599231358
IRL,2025,0.791076186083952,1.58829,75.0,97.18769836,2.59946721553708,94474.9879707069,77.5933380126953,29.0,77.932823957288,4.632,53.5184328432158,,high,0.0
IRN,2025,0.304914200880697,0.72665,10210.0,85.3404007,3.66312056830718,5834.44296939863,58.6838607788086,35.9,51.674147005512,8.301,0.814007923197325,0.0,middle,0.0
IRQ,2025,-2.73525447039729,0.0407,635.0,81.47450256,-1.54525198318304,4180.29619477317,15.5580997467041,29.8,65.2954744662424,15.485,,0.0,middle,0.0
ISL,2025,8.51889361391957,2.64005,34.0,98.209198,-0.970676468918384,59307.1777759714,76.5200729370117,26.8,78.1494643918603,3.625,53.9722930663779,,high,0.0
ISR,2025,2.73472411141711,6.34589,1592.0,88.18242225,0.871968424377442,41845.1660567523,56.2561111450195,38.3,84.0935245657305,3.489,37.2335173751738,,high,0.0
ITA,2025,1.13001784266315,1.37935,10281.0,89.2207202,0.692676948440536,34495.2545799636,75.9496536254883,34.3,70.2267616989263,6.391,12.2827088504022,,high,0.0
JAM,2025,1.38581813054415,0.06096,16.0,90.10870361,-0.535039063867487,6096.4327030963,26.2334142821948,39.9,68.9286353113298,3.286,2.64698979146794,0.0,middle,0.0
JOR,2025,3.06387579665258,0.69547,25.0,95.62244985,2.48889409603647,4016.83429143296,35.9184001120427,33.7,80.7571359278194,16.535,2.08415985427159,0.0,middle,0.0
JPN,2025,0.401239653950032,3.44125,222452.0,85.54153081,0.104309021773304,37152.5636003552,64.4907608032227,32.3,73.9575933652489,2.451,17.5547415163067,,high,0.0
KAZ,2025,0.678943746848058,0.16242,803.0,93.39167254,4.99999999996936,11872.7842626298,52.8612860406142,29.2,68.7945576301588,4.771,42.19530029659,0.0,middle,26.4306430203071
KEN,2025,0.385110027210407,0.81069,160.0,34.97622513,4.72473994710138,1860.02287047776,10.4185962462804,38.5,41.7331004461455,5.449,3.15003013612034,0.0,middle,0.0
KGZ,2025,4.03548948093475,0.05269,83.0,92.0286026,9.04013556120012,1391.68404329929,53.8761747562613,27.5,57.7310774891991,3.526,10.6711117431705,,middle,26.93808737813065
KHM,2025,9.48089832015712,0.08828,1.0,68.47530365,5.97510939607335,2182.71843902341,21.4437426836662,,37.7214984459931,0.263,5.26214140574212,0.0,middle,0.0
KIR,2024,2.62220169231084,,,89.44029999,5.26689747917099,2041.87601786956,4.96087980270386,24.7,,,2.29693114054698,0.0,middle,45.960369945675964
KNA,2024,3.74957950139418,,,76.88400269,0.312226855858171,21692.2406392872,93.92236328125,,,,34.6026368990477,0.0,high,76.88400269
KOR,2025,0.685857996519477,4.94352,186245.0,97.89563777,2.00361101838986,37048.4264001496,111.853302001953,32.9,71.5133653919359,2.683,36.2582559366674,,high,0.0
KWT,2025,0.383567812220823,0.08954,1.0,100.0,-2.56011099967517,23867.826500295,51.8967176944636,,73.496713591539,2.181,5.82777648932315,,high,100.0
LAC,2025,2.73979174344952,0.696712396676236,,83.6,1.97324501012739,8638.66600811342,56.6634292602539,,66.1811113670222,5.28568569134171,13.6400372667198,0.0,middle,83.6
LAO,2025,5.98958863567394,0.0371,1.0,65.59269714,4.13019264436937,2721.07810663082,14.8841695785522,34.7,23.9881235384869,1.187,7.41963729583454,0.0,middle,0.0
LBN,2024,3.26435467389127,,110.0,80.63400269,-0.760584470257314,5834.63415739394,54.4012561547071,35.5,76.3636463691127,10.985,2.89591276881506,0.0,middle,40.75138826032226
LBR,2025,9.86626133953545,,,32.23360062,4.02185464964835,665.101337624192,10.838520055325,35.3,50.531159632099,2.884,0.643718596498284,,low,0.0
LBY,2025,1.80500147243983,,,81.95449829,1.89995052025442,7696.0807819319,58.543701171875,,71.3751590394371,18.758,0.604680774692483,0.0,middle,0.0
LCA,2025,7.32073642166254,,2.0,68.20500183,3.89175024218898,11854.9517233237,15.0396404266357,43.7,76.3163034985676,9.452,9.33224017462958,0.0,middle,0.0
LCN,2025,2.83019279156142,0.682501882174588,8385.0,83.7,2.25365117533329,8873.03538905768,58.9027099609375,,66.81568377692,5.45906708114628,13.1170868158088,0.0,middle,83.7
LDC,2025,2.49378572238924,,,33.7,3.85645809654653,1091.33824852468,11.0492496490478,,33.3567540780648,4.66480928166506,8.04225673379678,,low,33.7
LIC,2025,4.7034478710177,,600.0,23.4,2.32616172345091,663.92559694882,9.28015041351318,,29.8602673682513,5.26006571299697,2.11978789576814,,low,23.4
LIE,2024,-1303.10826691135,6.00984,,98.2641983,-1.15748291975636,167187.15730982,46.0189590454102,,,,,,high,98.2641983
LKA,2025,0.769118881748846,0.10506,266.0,54.59,5.00871930957159,4186.4986638365,20.7412633848006,37.7,47.8392733572592,4.005,1.53793971540437,0.0,middle,0.0
LMC,2025,1.82835761191768,0.517959764163889,42400.0,62.9,5.17324978806563,2425.46811159982,27.4404697418213,,38.6670767807303,4.30947956350675,21.5562823901681,0.0,middle,62.9
LMY,2025,1.10723645786206,1.94633533666676,,,4.36075037491024,5652.87507726956,38.7901611328125,,44.7060365816141,4.91298327796184,21.9392282488692,0.0,middle,0.0
LSO,2025,-0.5534084172031,0.09453,1.0,51.79660034,2.85452253179545,991.069661910744,9.93844298033582,44.9,36.0864752457691,16.315,0.0895832496967832,,low,0.0
LTE,2025,0.803155160614853,2.08942406944005,,,4.48755005392181,11914.0272194525,69.3638916015625,,51.6959544549845,4.49842503652739,28.1050615003093,0.0,middle,0.0
LTU,2025,5.53816765536591,1.04977,81.0,89.16116293,2.77263124530285,19092.6451176955,75.6177368164062,36.0,69.435273271226,6.731,17.3245506640985,0.0,high,0.0
LUX,2025,113.622225285264,1.07045,112.0,99.12902211,0.35861253942069,104147.1739928,22.4103698730469,33.6,91.4778095399598,6.343,5.0736120319212,,high,99.12902211
LVA,2025,3.46583040049498,0.8236,104.0,92.70757011,-0.0461080109713521,16374.773539624,82.917350769043,34.0,71.5002159943841,6.568,17.4901914812882,0.0,high,0.0
MAC,2025,3.82364491952989,0.31097,2.0,89.82640076,7.84960207010525,63377.2932129214,141.864795918367,,88.6334455776545,2.347,0.0,,high,0.0
MAF,2021,,,,,4.89999967133534,,,,,,,,,0.0
MAR,2025,1.02047789871899,0.66036,254.0,91.2,3.79336515978963,3516.15405273438,48.1839617510572,39.5,48.2745559288651,9.0,5.43070567261144,0.0,middle,0.0
MCO,2024,,0.03821,5.0,99.04489899,8.51053758860212,247170.219910657,77.4806900024414,,,,,,high,68.89262199561034
MDA,2025,2.51844626798863,0.21589,64.0,77.3687973,0.103059364371205,3851.51202518347,74.7109378669046,26.8,36.9441386019795,1.505,2.92514721596985,0.0,middle,0.0
MDG,2025,3.47985819890072,0.01275,6.0,18.67790031,4.19999999988647,453.383067004772,6.1466638463036,36.8,20.8882641065098,3.041,0.958835172179217,,low,0.0
MDV,2025,11.416720004027,,,85.23999786,3.49440422654285,11798.791369146,48.4968654322788,29.3,71.7657917507932,4.514,0.00227056785155377,0.0,middle,0.0
MEA,2025,3.81341246026811,1.32901982491162,17557.0,63.7,2.11232485351741,5466.08902649321,29.6833095550537,,51.5948725308762,7.79483882954434,8.58757800098424,0.0,middle,63.7
MEX,2025,2.44966474077028,0.25372,1117.0,83.12233799,1.42742769080466,10316.4611902215,48.203441619873,42.6,64.0792516022262,2.673,19.3037596613987,0.0,middle,0.0
MHL,2024,4.60476895318283,,,65.915802,2.50192717852873,5811.03355673487,37.6853055916775,35.5,,,,0.0,middle,42.37922739791937
MIC,2025,1.07706320946648,1.9525754024907,,,4.38303528532211,6177.02279223057,43.2768402099609,,45.8679126135992,4.88571220068297,22.0193342881228,0.0,middle,0.0
MKD,2025,6.23445070666485,0.37363,42.0,93.1,2.99373536567732,6628.84686594032,55.0082015991211,33.5,60.8712604359926,12.256,6.3599119716616,0.0,middle,93.1
MLI,2025,3.43740692659041,0.14743,,36.80149841,4.99226917482922,909.755317910813,5.12750941173932,35.7,28.3964232086821,2.831,5.3606547607953,,low,0.0
MLT,2025,170.537958922807,0.64792,5.0,93.86029816,6.79990300224401,34670.0815997119,80.5250091552734,31.8,81.3861453233266,2.896,45.179167089137,0.0,high,0.0
MMR,2025,1.47879223317634,0.02307,,45.4477005,-0.97204641363362,1158.47928099316,20.3723297119141,30.7,36.8856128126541,3.047,5.19991999790977,0.0,middle,0.0
MNA,2025,2.34674901557747,0.538755837378145,,0.0,2.22259348944316,3023.05283337065,,,47.7946520801708,8.69378066221379,2.7534454080497,0.0,middle,0.0
MNE,2025,7.24824965709432,0.36328,5.0,88.88258428,3.16409886329913,8540.00828913129,55.1743011474609,34.3,77.5793384016688,13.572,14.4622662813729,0.0,middle,0.0
MNG,2025,11.6924984371367,0.08365,109.0,85.12349701,5.12204539122661,4626.79609644243,69.044059753418,31.4,49.9059178481407,5.233,22.5365545669935,0.0,middle,0.0
MNP,2022,,,,,16.6427546628408,19461.8611129744,,,,,,,high,0.0
MOZ,2025,15.4256916399298,0.30814,30.0,20.52729988,2.14854964610538,605.604720848519,7.4630510423433,49.6,20.5539713948222,6.628,3.6302648420799,,low,0.0
MRT,2025,13.2039338372346,0.01019,,45.77939987,6.30760213290844,1688.6139322919,5.97194330025359,32.0,52.8346574833529,10.319,9.44834081238425,0.0,middle,0.0
MUS,2025,4.56073459342588,0.26181,6.0,73.30793533,4.92512304864294,11934.770909957,45.7771156388358,36.8,74.6679068151951,5.635,1.21703538647261,0.0,middle,0.0
MWI,2025,2.27963607830505,0.17752,3.0,18.96159935,1.6734340852915,551.95152347056,2.70813684546823,38.5,27.6789722316402,5.072,1.64552794448662,,low,0.0
MYS,2025,3.6930953933026,1.0121,883.0,98.0206059,5.10545921024041,11883.79127749,38.5013945445142,40.7,64.8618460303923,3.764,58.6276748543331,0.0,middle,0.0
