economy,anomaly_score,is_anomaly,arm_relative,gdp_growth,knowledge_complexity,product_density
NOR,0.02016044250186727,False,0,2.09723059960317,1.2959176194807993,0.9999999999410647
SAS,0.02020900260138453,False,0,6.23259967615652,0.20616756989571464,0.31703811601248616
NLD,0.021616421188646873,False,0,1.08100584845663,1.2766709455987373,0.9470824628146547
MOZ,0.021641451786941768,False,0,2.14854964610538,-1.4006584995734384,0.09038487826381782
CYP,0.022476261115285667,False,0,3.94077381708404,0.9507292020409222,0.8052790227388925
MYS,0.02433816952217993,False,0,5.10545921024041,1.0269934524158437,0.6222276363277074
SST,0.025058481376830033,False,0,6.12150935431907,-0.9604155395795365,0.3231970039482656
GRD,0.025413246410540158,False,0,3.96332516398188,0.4924078110447044,0.4680960283424277
PLW,0.02630996118440304,False,0,2.21599800170485,1.3234732690771702,0.6451256248765503
GBR,0.027041245448263362,False,0,1.1264226705118,1.4346526684966696,0.9604179957452829
LSO,0.027149042683307423,False,0,2.85452253179545,-1.1483244569957778,0.08900126962807534
ZMB,0.028096732008546732,False,0,3.82004825518591,-1.5248726409129216,0.1084288658694418
AUS,0.02886811649776122,False,0,1.37340773365975,1.3967784326473573,0.9758554075749151
PHL,0.029062209281803697,False,0,5.69201612823412,0.5786639186554878,0.5105744151132724
DEU,0.030465602091568622,False,0,-0.495851897260366,1.3409350602087773,0.9287736331738241
AGO,0.03106094286891309,False,0,4.42390664406875,-0.9943137141431692,0.15236197624803557
TEA,0.031753780567180756,False,0,4.96151507087535,1.6293650222563962,0.6799869248128233
KNA,0.031830732537661666,False,0,0.312226855858171,1.269744468862942,0.6943413919483091
GEO,0.03247026530231173,False,0,9.67979387500691,0.44646908615977315,0.41936788359396654
EAP,0.034921330535166495,False,0,4.96144388249688,1.6105081735358084,0.6769449482169239
MEA,0.0354687770558435,False,0,2.11232485351741,0.14549860948110777,0.3727064637474237
VNM,0.03646775410611741,False,0,7.09118746633975,0.41091672560677367,0.4430195806326516
BEL,0.037596009885411896,False,0,1.07045413019414,1.4758698282379425,0.9204839844211509
TSA,0.03845751100441852,False,0,6.23259967615652,0.18863298153339,0.3178313977982053
SYR,0.03867654448523139,False,0,0.732781301861365,-0.9948102509345385,0.22073085909808304
MDG,0.0392913290257868,False,0,4.19999999988647,-1.5768422345279103,0.06936607437105075
MKD,0.040420119551103084,False,0,2.99373536567732,0.5752678925735194,0.4916996250873302
MWI,0.04226183574257336,False,0,1.6734340852915,-1.5451977301866182,0.04933552507222879
BRA,0.04682126142170334,False,0,3.41931516597739,0.3978591309178483,0.49886579984251017
SSD,0.04815561900809434,False,0,-10.7933646271143,-1.0609146770096052,0.11330090214750767
SSF,0.04883456954600229,False,0,3.59733324708962,-0.8982008305860869,0.08746846928038501
UKR,0.049991324692965244,False,0,2.9138222142611,0.4175651636483869,0.5003351385826136
AFG,0.0503576714199101,False,0,2.26694373649188,-1.3969751606487115,0.07712730377374619
COG,0.05109685172091449,False,0,2.57966943921721,-1.049206337439977,0.1601169799327683
UGA,0.05201720205051108,False,0,6.05558075875589,-1.5528769509577716,0.08991207223833282
CHL,0.052087409560667985,False,0,2.64431154871538,0.6410952698803677,0.5708197314620107
FRA,0.05270957066526022,False,0,1.19046798275883,0.9984059737865132,0.9351007316020873
AZE,0.05275537818684839,False,0,4.07140205008956,0.2775518418163679,0.4662181741504203
IBT,0.053167478599304985,False,0,4.34846625464438,0.7338303580119989,0.5268363984896081
CPV,0.053385532764214816,False,0,7.24388538990945,-0.7258257994083851,0.19959108008251145
VIR,0.05344172007608694,False,0,-1.31123206333498,-0.5736551829866138,0.5683810091174112
YEM,0.053528978333849286,False,0,0.752447592962554,-1.3150431677776309,0.15463417215605607
KAZ,0.05356640148959385,False,0,4.99999999996936,0.7236431104722808,0.6554126760963952
DNK,0.05461430258322003,False,0,3.47783593140312,1.3679106135289698,0.9757063689339092
BFA,0.05510420864079035,False,0,4.79980951667159,-1.385277159063511,0.049265164870286704
SMR,0.055507185888272415,False,0,0.401934896977224,0.5366544660669735,0.8189445343024553
KIR,0.056125942430910736,False,0,5.26689747917099,-0.29150652348555345,0.40242558586117977
MRT,0.056283427132170605,False,0,6.30760213290844,-1.1156871182833852,0.08478436862104409
BTN,0.056388650695219755,False,0,4.63215704523927,-0.6642781329757412,0.2559881289800038
ESP,0.0564747971364396,False,0,3.45525405630191,0.8366368703668754,0.7997191444364724
ALB,0.0566860302047425,False,0,4.04592845095348,0.0748065824697997,0.376128834481103
PNG,0.05738204500412075,False,0,3.79979560086888,-1.0325841901328345,0.1536439857501581
AND,0.05748285814444587,False,0,3.37182032638998,0.7467616495626662,0.7754583034289795
SYC,0.057501138020051634,False,0,3.46568066415341,-0.4571125925240582,0.37301550928319627
LIC,0.05791282339560977,False,0,2.32616172345091,-1.1454148737286116,0.08267036123468886
CAF,0.058541592586351165,False,0,1.49999999847535,-1.3575416582179822,0.08495240868313732
ZWE,0.05880027747993116,False,1,1.74239524880791,-1.0864746404126517,0.11130128316206207
SVN,0.05911073305980308,False,0,1.73139722479493,0.8203261963905486,0.7857271035597738
TMN,0.05916859553972875,False,0,2.41973722378488,-0.15994497447229522,0.22870933285003744
JOR,0.05941202756316988,False,0,2.48889409603647,-0.15067023755710293,0.43729747932031304
ECA,0.060259077817981344,False,0,3.9823947129598,1.0353443503282391,0.5921097368028748
TCD,0.06080778817536353,False,0,4.19925854085865,-1.488072618145157,0.10682468557411558
TZA,0.06119404390804578,False,0,5.5263138305945,-1.2612680881121399,0.09286762753412806
TEC,0.06129737417106418,False,0,3.80534822218803,1.1835628043022444,0.6511059298146777
LAO,0.06163135561198391,False,0,4.13019264436937,-0.8243219526970087,0.13981568397223298
GMB,0.06177841778062365,False,0,5.55126069510321,-1.086672249643474,0.0
COL,0.061840304018799586,False,1,1.5983315366523,-0.09503168964274157,0.35545923779320204
CAN,0.06186362758139208,False,0,1.55479521049516,0.8695988730968645,0.9502820605438443
PST,0.062113824829893916,False,0,1.79546895973735,1.296735392035305,0.9334073793260838
HTI,0.06279901429391005,False,1,-4.16963395808132,-0.5896592732347407,0.11642960250579605
BHR,0.06304280204962731,False,0,2.60379670648454,-0.05514438877143558,0.5972760641455631
PSE,0.06321158614238698,False,1,-26.5575264529877,-0.24423463649764232,0.3380428414665014
KHM,0.06391986097961783,False,0,5.97510939607335,-0.7458486678303075,0.1440845171938079
RUS,0.06397814802335167,False,0,4.34437475491529,0.3189462401064743,0.6563746164438865
COD,0.06442649772089254,False,0,6.12675551779212,-1.4528555221473938,0.07178637525019398
GAB,0.06462794309345393,False,0,3.39403899592401,-0.7954389813301521,0.2230387107306265
IBD,0.0647305546931699,False,0,4.3517642428957,1.115272412661859,0.6074914670359204
TKM,0.06513303731294207,False,0,6.2994265836889,-1.3044887694754268,0.12123968845938311
NER,0.06540423982133964,False,0,10.3000000007793,-1.3171205513191349,0.15059029768908527
FSM,0.06593237034837712,False,1,0.718990177344025,-0.7324660979487475,0.15028386104773703
TJK,0.06681908785284157,False,0,8.39999980983981,-0.5625024436029158,0.03422853575953594
STP,0.06704052116890197,False,1,1.09999940100751,-0.35453131092534507,0.2879503321415231
ITA,0.067112899611948,False,0,0.692676948440536,0.6008845430411431,0.9066941650567995
MNA,0.0671450674716127,False,0,2.22259348944316,-1.2237882714264232,0.137580593576641
THA,0.06719732179690924,False,0,2.54182067735289,0.6357445670199126,0.5757285048045472
MDA,0.06723828969726786,False,1,0.103059364371205,-0.09055871078373584,0.3630885350699667
NIC,0.06734958750912112,False,0,3.5878302292345,-0.8122147569739634,0.12001322862158563
ATG,0.06791678363090226,False,0,3.65638765956977,-0.3738480058403179,0.35322543037478193
ARE,0.06809028988367694,False,0,3.99180705485398,0.5655033680169653,0.8613380158613139
ARG,0.06812768446358591,False,1,-1.34293072157739,0.5337349236233774,0.5603161000568694
LCA,0.06840949934041235,False,0,3.89175024218898,-0.588269640382847,0.33676827499309214
SOM,0.06844151764759204,False,0,4.11139335779471,-0.8175377093347302,0.1885941227216691
LCN,0.06903893655162924,False,0,2.25365117533329,0.675402781478077,0.5923447831575315
BHS,0.06923443689811298,False,0,3.37866553336166,-0.20344507565151007,0.6689841395645386
BEN,0.06931538431091433,False,0,7.45311566226201,-0.6462072664225681,0.24311369279103698
PAN,0.06972149861973992,False,0,2.74788545546916,-0.3892619617032824,0.3549583232241894
GUY,0.0703262284498109,False,0,43.8193108024355,-0.2277082045920655,0.5075923016634488
IRQ,0.07057731806069883,False,1,-1.54525198318304,-0.6439418762948276,0.29920856745468977
LTE,0.07073641115595175,False,0,4.48755005392181,0.9346387586184332,0.6857805797117852
RWA,0.0708409468488348,False,0,8.89065529573114,-1.0826411940348044,0.06276955787567551
CZE,0.07105964234487372,False,0,1.23308611983484,0.8060555741822425,0.7765981157629793
EMU,0.07128297839065484,False,0,0.911910157337687,1.0091639354331765,0.9210557360055024
EUU,0.07275984768757549,False,0,1.06455789818651,0.9594361498054874,0.9106965090322652
TON,0.07289876170459858,False,0,2.79014366862668,0.03934388414459163,0.4669946550940052
BRN,0.07340423624668013,False,0,4.05251709306727,-0.28765484095499577,0.6281306791453187
CHI,0.07429660441994862,False,0,3.71500590367266,-0.2160494420231863,0.8658156417971297
TLS,0.07443351600174519,False,1,-9.10069369772735,-0.9428341336459061,0.20766622344327693
OED,0.07448746879069545,False,0,1.80676868744605,1.191447903390586,0.9145647050508803
EGY,0.07473021865273388,False,0,2.3991692678251,-0.11688513402459423,0.3440534861075234
EST,0.07473698343300783,False,0,-0.0900428648493801,0.7755358286776021,0.8162399443423373
BRB,0.07584260010358929,False,0,2.4822621396186,0.1593108945281082,0.724135340969527
POL,0.07616104405079155,False,0,3.02841630700273,0.7178567437549551,0.761804991781017
KGZ,0.07624496571741757,False,0,9.04013556120012,0.11637737830516187,0.44865470508138616
QAT,0.07809153701292532,False,0,2.35970586926597,-0.04003393626412278,0.8135909542484471
ARM,0.0781274706102188,False,0,5.90000000046228,0.12293323687844085,0.41350085883961596
SAU,0.07824259174586112,False,0,1.99650173436159,0.3539236508035908,0.7048616777469553
SDN,0.07832311812038517,False,0,-13.9643375197179,-1.3869807498513183,0.05628478350666255
ABW,0.07844495651434491,False,0,6.81077669324542,-0.2677968932711927,0.5820788431052661
BLR,0.07874028311736003,False,0,4.00984852465452,0.2276610954729106,0.5470965133832142
ETH,0.07892196525446488,False,0,7.61277447511073,-1.409046676706515,0.10738414796061661
IRN,0.07905252287472325,False,0,3.66312056830718,-0.03652359445066801,0.27299958865467994
KEN,0.0792688895661734,False,0,4.72473994710138,-1.0549690706258779,0.05608135953299227
CRI,0.07941964934277129,False,0,4.32122429646145,0.21505223860355002,0.5058575649568775
AFE,0.08073465975563054,False,0,2.76383869054277,-0.9581107203159749,0.08050548487624912
GTM,0.08088428768460337,False,0,3.65186382894819,-0.8026957150144403,0.13646145310131047
HUN,0.08103209471680106,False,0,0.560117843140432,0.6704232675989303,0.79162878587115
VCT,0.08106948111430196,False,0,4.06183490050209,-0.4461825611242852,0.33596062392236986
LDC,0.08123793792497835,False,0,3.85645809654653,-0.838195971183534,0.10574071749330863
PAK,0.08129335547924699,False,0,3.04898287335465,-1.0116535933589612,0.044917703040660735
MNE,0.08186493460717958,False,0,3.16409886329913,0.09247874477695325,0.49882993298434797
FCS,0.08266044085933211,False,0,2.00694502217958,-0.8343732837480042,0.08830009194166757
URY,0.08273143550925466,False,0,3.10825478066172,0.4094896245154423,0.6497124847615068
IMN,0.08313969589566272,False,0,-4.16539345213232,-0.2160494420231863,0.8582871168660487
BLZ,0.08332692298626077,False,0,3.50466435023895,-0.5201695826263255,0.25354620617760354
SVK,0.08342748458783694,False,0,1.93867445549446,0.23697319393364932,0.6634306836163107
AFW,0.08387826910467183,False,0,4.5856736208091,-0.876365513480404,0.12313204765483543
NPL,0.08418159223460675,False,0,3.66537430744967,-1.01764064238086,0.09354229110553353
HND,0.08433667212529583,False,0,3.55397003296669,-0.8730706885156782,0.12088388890535733
LBN,0.08458241145111944,False,1,-0.760584470257314,0.10183536733427176,0.47328946321570114
TUV,0.08514343804398583,False,0,3.85280919517032,-0.9052443579864037,0.09930388156706287
GNQ,0.08545375590565218,False,1,0.907248245986736,-0.8265481114513534,0.07303872740413014
MLI,0.08551442959910271,False,0,4.99226917482922,-1.2580033168598486,0.06958683097598213
TGO,0.0855708855719895,False,0,6.53204505563791,-1.1864499625158489,0.06217811464486372
NZL,0.08573941979970401,False,0,1.28862004711685,0.7217932605596293,0.9465875626275474
LKA,0.08580556996314398,False,0,5.00871930957159,-0.9739670454004992,0.03268432067231165
LBY,0.08583976511953173,False,1,1.89995052025442,-0.13499522004326958,0.39919698261264264
IDB,0.0861172517844126,False,0,4.05581991807422,-0.8361657162894538,0.11292727147127307
NRU,0.08616090707573615,False,1,1.38888888888904,0.32939902031593205,0.4999148243882379
TTO,0.08626223401242328,False,0,2.50920813979569,-0.667248371100489,0.39750561620151714
FRO,0.08633299037629111,False,0,0.843716851362103,-0.046737947531833544,0.8056248702799539
VEN,0.08633344645524532,False,0,5.29999999999984,0.04817627140110797,0.40625719758162904
MEX,0.0863762612320294,False,1,1.42742769080466,0.007800226348744249,0.43593316094981754
PYF,0.08648409568472959,False,0,1.12638897730247,-0.3947487680050053,0.5176051746103064
IDX,0.08663091933477307,False,0,4.54306460750766,-0.8486786451974699,0.10287218274944518
IDA,0.08735902175850502,False,0,4.30577432199132,-0.8093981732119337,0.10870139375177551
DMA,0.08741218827165131,False,0,2.052738472526,0.24025844019505588,0.4629260031314302
LMY,0.08774566171376891,False,0,4.36075037491024,0.4591585712855062,0.4908985859833046
OSS,0.08944298782068366,False,0,2.8832579743179,0.13830746119984494,0.5808019052642179
CIV,0.08980224244574642,False,0,6.01953461940062,-1.1561933979963097,0.06986897568435028
ERI,0.08994226984740028,False,0,8.67980010138049,-1.3725011581542288,0.08260153896072309
ECU,0.09051145609414396,False,1,-2.00125476341026,0.03395847501806569,0.32502776645285786
SSA,0.09067121875010165,False,0,3.36470475625489,-0.88247023636961,0.08762877594305402
LBR,0.09067335594634601,False,0,4.02185464964835,-1.2008246888610146,0.09201229411730022
MHL,0.09102851933129502,False,0,2.50192717852873,-0.15894452559905603,0.2488147473775039
MNG,0.09113885841930286,False,0,5.12204539122661,0.2523160312483313,0.4251312925085239
TSS,0.09138231830083882,False,0,3.59733324708967,-0.908312470337783,0.08673389987448706
MIC,0.09171563292770624,False,0,4.38303528532211,0.5093700986331632,0.5169058964937879
LAC,0.09184735906765834,False,1,1.97324501012739,0.6581014104584146,0.5886651570845722
GNB,0.09231152096228201,False,0,4.14631137217332,-1.221243549337279,0.10915021664367415
IDN,0.09239268948013679,False,0,5.03034469419038,-0.3281489875200967,0.17012952430969067
MAR,0.09246655989207203,False,0,3.79336515978963,-0.023667392460067393,0.222089914207586
BOL,0.09273402282875576,False,1,-1.12335595517212,-0.35219823869377326,0.20162999009138222
TLA,0.09284523086337837,False,0,2.2781470509277,0.6753296299415873,0.5917820644353983
GIN,0.09321043441989135,False,0,5.35004659051708,-1.1837631515607254,0.1168226970393243
UZB,0.09322897757084525,False,0,6.49999999997677,0.02259074613981672,0.3350460815694172
MMR,0.09357710721710338,False,1,-0.97204641363362,-1.0420905491964514,0.10521234598238036
NGA,0.09396165983392457,False,0,4.06236408888319,-1.1640070174375468,0.08812112001631175
DZA,0.09480916760002206,False,0,3.69999999907979,-0.26519973415314746,0.34708545943973546
GRL,0.09548229720568902,False,0,0.865961986998158,-0.4138461478799901,0.6960945450277817
VUT,0.09549258860915355,False,1,0.942185362275907,-1.2634622845216195,0.11873260439716164
PRT,0.09567253836602924,False,0,2.13967177177636,0.603064042052793,0.7994212344753306
SLB,0.09586859571838402,False,0,2.99755987604104,-0.9046137851976686,0.14261293693678717
PRI,0.09625202019279644,False,0,3.17707554784896,0.19488587751583944,0.7448883025089392
JAM,0.09629215643077194,False,1,-0.535039063867487,-0.5042449060634797,0.3165646447299858
HPC,0.09662034277619402,False,0,5.14470675657978,-0.6247467058082823,0.132101618336397
MUS,0.09671243887457082,False,0,4.92512304864294,-0.4553228078205398,0.3871568517181353
HRV,0.09709129484231871,False,0,3.82688702890739,0.5750855135713526,0.7604095709270153
SLV,0.0973118082828589,False,0,2.60202016121069,-0.6419043007759184,0.16925770792721279
NCL,0.0976680423358075,False,0,-13.5,-0.22784230694925314,0.6189754878047156
GHA,0.09801843884435907,False,0,5.59045469593266,-0.6710064563991948,0.13030572219814418
SUR,0.09823510363904914,False,1,1.72095737011739,-0.4798267770192517,0.30725476051582307
TUN,0.09877818580232678,False,1,1.61444564976986,-0.22867720068560274,0.26452905394089826
SLE,0.0989601167036614,False,0,4.29322336690163,-1.3730416156527498,0.09028190134204313
PER,0.09991261316613398,False,0,3.30394098171516,-0.04534325968129033,0.341870575550779
TCA,0.10031120564947227,False,0,5.63682517443362,-0.46997437674842446,0.7065097952338688
CMR,0.10047775684240517,False,0,3.52472308052245,-0.953188306768278,0.06691520047733804
LVA,0.10137399424024024,False,0,-0.0461080109713521,0.625312965299605,0.7343600979124536
BGD,0.10167862490576468,False,0,4.22325911250161,-0.8258211300147058,0.12417559782601185
COM,0.10176683660889052,False,0,3.3381010943571,-1.0691867626451628,0.15230956865214254
GUM,0.10390463222084323,False,0,5.09986426216793,-0.3170785089978017,0.6835872123263271
LTU,0.10493489083110535,False,0,2.77263124530285,0.5767399751254865,0.7654369452587189
CEB,0.10532824537761343,False,0,2.0701601704917,0.4696712573762394,0.7601075027385054
DOM,0.1054453999276801,False,0,4.95352204492849,0.08732201536979549,0.5237895908298896
FJI,0.10571105384568802,False,0,3.53085896076352,-0.002888536593119681,0.3793619199078576
BGR,0.10669226336097443,False,0,3.38709063847314,0.2850589765557849,0.5656144075584675
MDV,0.10703238312861313,False,0,3.49440422654285,-0.21309422411811998,0.5185961460815246
EAR,0.1072951659518499,False,0,3.66894359356229,-0.06787739924010575,0.20473173574691417
PRY,0.10780443409608043,False,0,4.24996010464072,-0.3157889963541466,0.29941069543813853
BIH,0.10818083441809456,False,0,2.9715174617652,-0.23720099119106514,0.2972420646018752
ROU,0.10876988537493659,False,1,0.916003764382594,0.15044272894709335,0.5376500201871214
CSS,0.10904133119825538,False,0,13.3129250895082,-0.5390381031026663,0.4141631258086475
PRE,0.10922156045832376,False,0,3.31272809044805,-0.5579407021854899,0.13303379136789314
CUB,0.10935927738213985,False,1,-1.06173273220524,-0.3395575344654662,0.3772320114243549
OMN,0.10970154731314163,False,0,1.63163221127449,-0.132431013005259,0.44838697232534386
SEN,0.10973851886865782,False,0,6.06055141198976,-0.7914757248607991,0.0793917692671654
SXM,0.11058810355001947,False,0,3.00000000000014,-0.569078908052712,0.5056137831059547
SRB,0.11111589170526182,False,0,3.94992622592932,0.24163556148932275,0.47837543777844144
ARB,0.11213810617810144,False,1,1.70353102787844,-0.2860022441871265,0.21957664819645428
CUW,0.11586805303239278,False,0,5.02690000000014,-0.5497607727979974,0.2596786133020368
XKX,0.11651022626782137,False,0,4.5730971681166,-0.11377959973209024,0.27494392360422537
ASM,0.12017048001084962,False,1,1.73501577287065,-0.2732121978249556,0.3052336286073803
PSS,0.12046839388921415,False,0,3.39271983855302,-0.3432777605827634,0.17553973933631825
MAF,0.12058031014200804,False,0,4.89999967133534,-0.2160494420231863,0.22777101063958938
MNP,0.12523144916655504,False,0,16.6427546628408,-0.2160494420231863,0.4344477824540268
